59	63	69	74	66	76	68	81	57	52	60	69	85	64	62	78	72	84	47	57	68	74	65	72	83	61	73	63	71	79	62	73	69	50	59	80	70	71	68	70	62	83	86	58	69	51	65	70	88	66	75	62	67	70	66	65	62	55	65	66	82	60	71	78	64	66	62	68	62	69	67	64	67	67	70	73	77	85	67	63	81	61	67	56	57	79	55	61	72	70	61	71	81	81	59	91	61	61	45	79	72	67	56	76	81	74	60	65	76	64	80	69	71	78	62	72	64	55	79	67	65	67	70	89	62	66	59	61	71	64	64	64	65	58	60	65	72	58	56	74	72	57	72	56	72	62	75	65	80	62	76	57	75	69	71	79	75	62	47	62	71	77	72	64	67	64	75	56	58	67	90	63	68	66	60	78	58	68	58	73	76	64	69	68	68	73	72	60	66	67	53	78	68	69	78	66	55	61	57	63	78	78	52	71	76	61	53	80	70	66	67	77	69	69	84	50	60	73	71	67	55	69	61	70	69	64	67	71	57	90	67	78	63	60	64	66	75	65	72	67	59	56	74	68	74	60	80	63	71	61	76	61	73	77	72	70	62	79	61	70	55	70	67	70	73	65	64	74	86	72	80	76	65	69	65	66	73	83	66	69	71	69	65	76	71	61	60	54	71	68	55	83	63	69	74	77	80	72	67	66	66	77	59	63	67	62	72	71	53	64	65	74	62	55	62	64	65	60	71	68	80	67	75	70	62	79	66	67	76	61	49	56	65	60	63	82	60	63	67	67	56	58	78	67	70	83	68	68	75	76	69	68	87	61	64	81	68	63	64	64	69	63	72	64	59	68	69	61	62	54	82	72	65	75	69	61	79	68	71	58	59	56	58	55	54	70	60	59	60	58	72	73	60	66	72	46	74	57	66	56	80	64	67	59	58	77	75	70	57	68	56	78	61	62	63	69	60	64	68	83	75	71	74	68	62	72	67	77	75	85	76	77	65	78	52	83	69	62	60	77	69	71	73	60	76	80	81	73	76	58	70	76	48	56	82	71	78	67	56	73	78	55	49	69	50	64	52	57	65	72	59	64	59	76	69	60	67	56	59	66	59	73	76	63	63	68	76	70	69	78	67	82	80	78	79	69	63	70	64	71
63	62	71	65	69	77	58	64	51	71	68	58	63	77	74	70	79	51	79	63	66	91	84	65	73	79	65	65	79	60	72	59	77	65	67	62	60	74	63	63	57	73	62	61	63	59	51	66	65	59	59	79	72	63	84	73	62	68	63	61	61	60	55	66	84	62	67	71	64	69	67	72	54	74	79	74	57	65	66	65	72	64	69	58	54	59	83	64	59	71	62	66	64	78	50	70	76	53	59	61	67	65	69	74	66	65	61	70	73	53	65	67	85	75	56	74	57	57	63	57	60	72	64	89	65	66	65	57	55	72	64	93	68	79	67	59	63	74	65	63	82	70	77	80	57	68	72	53	64	60	58	67	59	73	62	69	62	70	55	66	67	70	64	73	57	65	79	54	55	66	59	55	57	63	55	54	62	70	69	66	49	46	52	60	53	71	69	59	59	60	78	80	70	72	82	58	67	69	64	60	78	62	65	68	46	62	69	99	68	71	81	73	58	73	71	68	62	66	67	78	77	59	66	85	72	70	75	54	58	64	56	78	69	69	77	72	62	60	82	71	87	73	65	72	64	67	65	62	60	52	76	63	60	56	70	63	49	71	61	66	61	82	62	73	78	62	64	68	71	65	67	64	63	72	83	65	75	51	56	56	77	63	65	65	71	67	79	70	71	66	52	71	61	63	58	71	61	52	70	66	78	77	75	71	77	72	53	66	57	72	70	64	55	70	79	72	67	74	61	79	65	72	68	53	81	65	60	62	58	53	72	62	56	74	59	44	62	58	58	73	57	77	69	63	71	73	79	70	77	66	62	83	74	64	74	57	71	79	65	69	77	62	74	62	67	71	64	63	68	80	82	56	57	69	67	65	54	73	67	72	73	54	77	74	67	67	70	70	68	69	62	80	68	71	76	69	60	59	67	62	52	85	59	77	86	63	59	66	77	73	55	77	75	69	72	64	67	71	68	59	56	56	57	65	72	70	81	64	77	54	75	61	74	62	66	76	86	68	91	74	90	62	73	73	61	61	71	66	67	59	56	52	60	67	53	63	71	74	55	70	70	50	77	82	56	60	69	52	71	65	74	73	58	77	81	59	66	69	78	72	59	62	58	65	74	63	72	71	72	67	56	74	61	63	51	63	80	72	64	67
61	71	68	49	81	61	66	66	87	68	51	70	78	64	69	57	59	65	62	53	70	66	63	61	53	67	81	64	61	63	66	59	67	63	62	59	65	63	75	69	57	76	69	72	54	69	58	60	72	58	66	54	82	56	72	83	87	68	81	67	58	77	61	61	64	68	62	57	73	61	75	66	65	60	70	76	80	60	72	72	67	64	77	73	59	62	73	67	83	67	91	64	69	70	60	70	83	75	74	63	63	54	53	73	77	67	66	70	55	58	57	59	70	60	74	76	69	79	58	72	58	78	69	67	63	64	68	68	62	59	53	74	47	58	74	60	51	60	63	83	71	77	63	69	84	75	72	60	79	70	68	57	48	65	64	74	63	66	59	63	65	61	61	62	63	72	71	66	61	81	59	73	65	70	85	58	70	67	64	68	57	69	68	63	69	65	54	61	58	74	61	59	63	57	55	67	68	57	66	47	70	73	59	64	72	76	64	64	68	69	60	72	73	69	64	55	71	71	84	82	72	64	64	68	54	68	74	48	81	69	69	78	67	71	63	81	72	77	55	63	56	54	68	64	50	60	61	63	75	75	57	59	63	59	81	49	79	54	55	63	78	67	52	58	69	68	67	76	62	70	60	76	75	65	56	67	78	64	68	63	59	80	75	74	56	53	78	63	83	77	63	60	60	78	75	71	69	67	56	60	77	62	71	68	71	73	56	73	69	62	63	55	71	79	64	72	52	65	63	67	70	67	70	68	70	78	53	74	72	55	62	66	83	59	57	61	77	61	61	61	69	52	66	63	60	65	61	64	57	61	74	66	69	83	56	69	63	70	75	78	62	74	64	58	64	61	63	77	59	68	64	68	78	66	63	73	64	74	58	65	78	79	64	78	74	82	66	84	75	62	59	78	75	71	74	69	61	69	75	71	79	73	69	69	70	70	59	80	46	71	70	76	55	55	72	71	71	67	75	72	54	66	60	59	69	55	64	68	61	59	61	71	79	67	72	66	66	80	60	63	62	67	88	69	72	73	56	65	67	55	76	65	72	66	67	55	66	48	80	70	65	61	62	53	66	68	64	73	68	66	82	60	68	57	69	70	64	68	58	82	69	61	74	62	77	55	75	70	67	78	59	65	83	75	84	58	68	61	64	85
65	76	66	62	62	80	61	70	80	62	83	55	69	65	78	70	67	57	62	86	77	77	55	71	67	84	56	56	68	78	56	63	62	61	64	69	60	58	72	56	58	66	62	57	60	72	76	70	69	76	81	62	56	54	61	55	67	55	68	77	63	51	66	74	62	69	58	79	62	57	61	66	65	65	57	65	57	51	47	68	78	73	84	56	63	68	68	61	71	77	63	61	65	63	67	63	54	76	68	82	59	68	65	73	73	77	71	69	79	74	61	77	72	74	61	74	73	75	61	72	63	56	67	81	64	67	73	57	72	60	75	77	65	52	72	67	57	57	57	61	50	74	61	74	71	83	79	81	73	57	63	65	71	60	76	69	68	77	63	60	56	77	63	74	70	61	47	60	77	73	64	69	59	81	60	71	70	59	61	70	69	74	73	50	71	75	66	53	63	63	69	58	78	59	59	61	69	65	72	69	82	68	49	63	67	62	65	68	69	73	79	58	54	65	60	68	86	74	66	58	74	69	79	78	60	65	68	70	66	51	64	85	62	71	84	69	55	74	59	64	68	68	66	77	72	85	60	63	60	80	73	67	63	74	48	63	64	67	71	71	67	73	67	62	69	70	77	60	80	79	64	64	89	67	68	64	67	82	55	57	75	61	61	62	72	66	80	51	70	61	70	62	87	77	70	46	79	73	56	72	70	69	61	67	66	73	65	65	73	59	59	77	68	71	90	69	67	62	60	55	63	65	60	64	69	79	74	78	80	64	54	78	46	54	59	80	72	73	44	61	69	60	74	55	84	67	66	81	79	72	63	67	65	63	67	64	64	66	58	56	66	68	64	71	60	71	65	65	56	62	56	74	73	69	83	60	53	54	61	58	72	55	69	77	64	49	58	67	66	61	71	67	60	65	65	56	73	67	76	59	61	66	65	83	67	61	82	72	57	66	60	78	72	69	68	94	71	60	73	74	81	69	51	74	76	67	75	65	64	61	75	74	64	68	70	68	77	74	75	70	71	48	74	54	82	65	79	59	68	49	68	58	67	77	73	68	67	68	58	63	67	72	61	66	62	68	70	65	70	65	71	72	72	73	56	72	71	76	64	50	60	54	71	64	61	58	77	64	67	73	69	75	80	71	71	63	57	64	62	68
81	62	62	61	61	72	58	67	60	65	58	55	69	74	66	71	58	73	54	61	68	80	65	72	71	68	72	70	77	75	80	60	71	83	70	72	73	60	64	63	64	61	64	71	63	45	68	75	57	63	55	60	75	69	66	76	60	54	48	59	59	71	58	68	77	68	59	61	70	66	71	74	79	66	65	71	69	67	81	65	72	67	78	51	59	67	77	61	64	66	52	75	72	64	57	58	68	64	66	69	57	73	63	85	79	71	70	78	60	67	70	61	61	74	60	61	66	62	67	58	53	68	63	67	76	72	63	73	73	65	58	59	56	82	56	66	50	60	77	62	63	63	62	76	67	69	65	65	75	76	89	70	66	71	72	62	79	48	54	74	70	57	71	73	62	77	58	55	61	70	73	71	67	59	80	67	61	84	53	64	53	81	80	71	61	77	59	65	64	64	76	68	74	82	70	73	78	63	68	69	64	64	74	45	73	58	58	81	63	51	66	63	59	61	67	77	70	63	65	47	67	51	74	72	73	68	55	57	67	77	69	55	77	65	56	62	83	67	49	65	86	54	66	74	60	78	70	61	73	59	57	72	70	61	75	86	59	57	76	95	76	71	65	56	58	63	63	79	66	78	65	64	60	61	51	61	62	62	58	47	63	62	61	55	72	55	70	74	66	62	87	66	70	59	73	62	61	62	60	74	68	65	67	58	65	67	70	73	65	64	67	68	55	78	58	61	54	66	65	69	78	75	68	73	64	95	72	60	68	51	70	72	69	74	76	84	65	70	70	63	80	66	64	71	54	70	83	57	76	65	54	67	78	77	69	73	61	63	74	71	49	73	69	72	63	63	69	53	59	63	68	67	71	65	56	54	78	75	67	81	51	61	54	71	66	74	73	70	84	67	79	67	62	66	61	63	70	68	59	73	64	69	64	65	62	72	70	71	57	63	77	60	63	68	63	77	66	76	67	57	62	66	56	61	70	65	71	69	64	57	60	62	57	64	58	65	65	75	69	83	75	60	68	80	74	85	59	58	72	68	73	83	68	70	73	49	62	61	71	50	64	76	71	62	67	70	62	63	72	61	68	72	52	75	55	65	60	73	59	67	55	71	60	63	57	74	63	83	67	70	56	72	65	57	51	79	71	54	59	51
69	67	74	55	69	74	72	58	55	75	84	59	80	62	79	68	70	61	65	71	80	70	67	64	60	67	65	68	55	69	79	66	55	66	78	59	75	72	49	69	64	61	68	63	64	71	59	58	45	62	64	61	59	68	58	71	71	61	61	54	82	68	70	76	65	74	68	66	64	64	68	76	72	60	61	66	75	62	63	72	65	68	69	69	70	54	65	66	72	66	68	71	64	64	74	70	63	77	63	53	68	66	65	59	72	66	59	71	56	71	67	67	66	69	72	65	70	67	62	57	67	65	80	69	76	80	56	64	79	87	77	57	77	54	63	65	78	61	71	61	66	76	64	64	48	77	63	55	75	64	64	72	81	71	80	65	62	64	60	69	64	80	68	61	72	86	83	67	66	73	68	86	63	59	58	75	70	68	74	46	64	68	60	56	68	82	62	76	59	73	65	54	77	72	69	53	66	70	55	64	68	61	58	67	47	74	59	56	69	48	61	50	59	64	56	64	65	69	54	76	68	66	64	71	73	72	56	67	78	65	68	75	67	65	76	57	59	52	67	69	59	58	73	62	64	43	66	77	74	72	89	55	83	71	85	58	64	60	64	69	74	76	80	58	75	65	69	64	75	59	72	53	75	62	69	55	60	73	66	71	60	87	55	73	65	63	63	57	58	75	82	65	66	67	71	67	65	76	64	65	77	68	59	66	70	66	76	77	69	54	52	55	81	65	71	67	74	60	61	53	70	81	65	74	60	56	62	68	63	67	67	81	59	69	74	74	69	67	70	62	72	60	52	77	68	63	65	61	75	64	66	55	60	62	92	60	60	67	65	68	74	50	70	59	67	57	67	57	66	57	71	68	58	78	69	75	59	66	82	59	82	79	65	77	67	65	68	54	76	78	66	68	85	67	62	68	83	58	62	76	54	55	65	66	77	66	74	67	62	60	61	78	74	63	73	81	83	72	64	67	61	67	67	63	69	74	73	80	74	52	61	72	59	71	56	84	70	65	61	59	65	58	73	68	49	76	67	50	61	77	79	71	61	75	72	59	69	70	68	89	65	51	62	63	65	60	49	63	71	70	59	63	70	79	65	75	76	68	72	54	69	63	69	66	75	70	63	72	64	55	66	62	74	75	65	63	58	73	71	67
62	63	82	64	66	63	53	67	52	65	65	74	86	62	70	65	85	68	66	74	77	61	60	61	65	78	70	70	67	67	61	75	92	71	62	66	56	74	67	71	76	52	56	63	76	79	68	77	62	70	77	68	75	85	71	79	67	84	66	59	67	67	69	66	67	72	71	78	49	65	74	64	66	72	65	86	57	65	86	66	88	64	69	79	59	75	63	66	76	63	61	62	65	64	64	76	47	65	70	68	67	80	71	76	68	76	73	80	67	69	69	71	70	76	74	57	68	69	79	71	62	64	56	77	72	66	90	79	70	63	64	65	68	42	63	75	65	71	78	64	67	64	75	74	64	74	70	64	58	64	56	62	70	65	66	63	62	65	70	57	78	82	68	69	68	62	59	69	72	73	47	66	55	70	67	64	68	60	77	55	59	59	72	61	82	62	62	79	80	80	76	74	70	57	63	62	70	67	54	66	56	56	60	74	51	60	74	56	49	89	78	70	68	51	64	72	81	65	67	60	59	61	71	58	77	57	68	65	57	73	70	68	70	58	53	72	67	69	52	82	62	67	87	70	66	60	74	54	63	68	75	79	79	70	58	57	70	78	79	75	80	66	73	52	59	89	63	55	82	76	63	70	54	63	69	71	59	80	71	58	58	71	69	69	72	74	70	59	65	72	56	80	69	45	65	70	61	74	79	81	72	64	56	71	58	65	58	73	63	63	60	59	64	53	54	59	61	55	69	71	66	59	53	50	55	69	75	39	73	62	65	57	77	48	54	53	73	79	78	68	61	84	81	77	73	56	53	65	71	62	85	65	58	72	68	64	85	59	59	61	57	57	67	73	60	61	60	57	57	50	69	65	60	56	78	81	81	73	70	67	77	71	70	84	68	66	68	66	70	69	78	66	54	71	67	59	77	70	62	62	66	70	61	74	58	62	72	75	64	60	70	80	71	49	78	64	81	67	55	42	88	71	69	61	86	54	74	56	74	58	64	65	62	81	72	67	77	55	74	56	75	74	77	79	66	63	93	70	62	61	55	63	80	64	50	55	65	67	66	57	67	57	84	69	71	70	63	71	66	72	64	65	75	75	72	62	71	57	58	64	75	60	67	69	61	62	72	51	64	69	74	62	61	55	49	76	73	67	69	56
77	73	58	60	60	59	63	68	67	73	42	49	72	75	50	68	65	79	64	66	58	56	85	62	61	59	64	72	67	75	78	62	77	62	63	68	69	63	69	62	58	66	60	64	59	65	69	58	59	65	65	62	68	74	68	53	70	71	64	62	76	58	74	70	69	55	74	62	66	66	58	63	69	76	76	56	70	62	65	66	60	70	71	74	62	60	56	61	72	56	75	82	77	68	60	83	67	81	53	71	82	53	56	64	74	61	68	63	68	57	58	64	63	76	57	73	74	79	72	70	73	72	57	67	78	72	74	75	52	59	76	68	67	63	60	54	73	72	83	64	57	64	79	72	64	63	61	68	77	82	75	64	61	53	70	55	48	65	54	63	68	72	77	57	86	73	70	77	74	56	58	70	67	51	95	60	67	65	58	71	65	53	65	67	74	65	86	72	76	76	65	88	56	73	62	65	77	71	54	66	62	58	67	82	70	72	70	63	71	56	57	69	67	76	71	55	59	67	54	67	76	57	55	62	58	93	67	66	78	75	68	74	77	73	64	62	56	77	72	57	63	70	70	73	59	68	60	67	59	61	57	74	77	78	75	69	79	78	76	52	61	68	68	74	73	70	67	66	72	71	62	77	61	65	92	70	67	57	61	61	79	67	45	65	68	56	59	63	54	75	64	54	78	55	58	40	73	73	60	68	77	62	56	70	81	52	73	72	75	71	67	60	70	73	67	59	80	60	67	61	70	70	69	56	56	65	51	57	67	63	69	69	58	69	61	81	69	56	65	82	56	64	86	60	57	57	77	92	71	69	70	72	69	57	41	64	65	69	73	66	78	67	76	55	63	60	74	56	54	73	56	48	70	64	58	76	75	63	59	58	64	68	72	67	68	70	85	50	76	69	77	56	66	78	76	74	80	77	59	56	66	60	51	60	64	60	75	65	62	74	64	67	55	67	76	63	61	82	80	76	75	65	78	71	59	78	60	60	77	80	73	68	76	61	67	82	66	73	63	77	81	67	55	85	62	68	70	68	78	74	85	76	67	61	76	75	74	62	68	50	73	51	67	60	69	80	62	81	57	83	68	64	53	63	82	65	70	82	59	79	65	67	68	63	73	76	88	81	69	59	58	75	74	69	79	57	64	68	66	66
65	66	82	79	57	59	69	64	73	76	62	83	64	60	61	56	60	52	76	57	64	72	66	64	70	64	69	57	74	75	61	69	59	62	67	65	64	65	74	65	67	52	65	71	70	65	58	61	64	65	73	54	64	59	51	71	73	74	59	71	68	64	64	69	71	68	61	70	64	78	70	75	69	68	68	69	68	70	67	56	61	73	56	67	77	66	58	78	69	70	72	69	67	63	74	65	72	48	53	70	56	63	60	64	66	57	63	61	68	88	81	67	65	59	71	69	62	59	76	57	75	46	73	65	61	71	69	52	77	71	76	67	66	60	66	62	63	79	60	79	68	69	66	68	66	59	75	81	68	61	54	62	71	75	68	66	66	58	74	88	88	60	75	64	71	71	78	67	76	52	65	63	65	60	66	61	72	61	63	60	63	61	76	61	76	65	69	78	79	71	65	52	71	53	62	88	73	61	69	86	79	49	69	85	73	62	79	62	67	61	59	55	78	73	69	70	79	61	76	75	77	61	68	80	76	75	62	75	81	77	65	71	64	61	85	97	57	65	52	64	75	63	68	63	76	69	64	63	71	69	61	56	75	65	61	52	59	69	67	63	69	65	70	71	54	87	72	74	65	62	79	63	72	78	57	76	73	71	66	56	73	64	82	67	69	61	74	63	65	57	58	63	69	49	69	63	78	69	63	76	61	66	44	65	94	59	57	82	59	63	54	60	83	52	68	79	58	81	75	48	62	54	60	64	61	64	67	71	80	75	68	70	73	62	65	67	76	67	69	59	70	71	61	57	69	48	61	82	74	68	61	69	65	67	53	52	54	71	61	68	75	76	66	73	66	72	68	57	66	62	66	58	67	62	60	68	71	60	74	66	62	76	66	80	68	61	72	75	67	63	71	69	76	56	56	69	65	62	69	69	59	69	64	79	76	75	71	84	61	57	79	72	65	72	68	63	58	63	61	88	65	62	60	74	63	72	67	72	59	75	65	72	72	61	66	66	71	73	67	69	57	70	61	72	55	61	69	62	72	67	70	59	55	58	53	68	78	72	78	66	72	66	66	73	61	70	74	75	54	69	70	54	66	56	70	65	54	55	73	47	55	54	70	84	68	58	60	65	77	68	54	59	72	59	59	80	74	68	59	64
57	84	64	59	51	67	71	59	60	74	73	75	78	62	61	77	60	46	67	61	74	62	54	61	62	61	56	71	58	60	59	68	65	75	64	72	73	73	57	67	64	77	67	68	68	55	71	81	47	67	67	60	83	75	69	80	57	62	75	64	65	76	70	69	73	67	76	51	66	77	69	64	61	69	67	70	72	66	83	70	62	72	66	72	65	75	63	71	80	64	73	51	64	66	77	60	64	60	67	75	74	53	57	77	68	72	61	72	65	61	70	66	59	71	80	73	69	68	62	67	76	68	60	62	72	64	54	74	51	71	66	62	78	83	56	72	88	64	80	58	72	85	57	60	68	67	53	72	66	66	60	65	68	47	65	61	64	61	62	69	44	77	62	54	74	70	68	68	68	73	66	70	70	63	69	64	71	76	74	67	63	57	69	72	54	62	81	57	61	69	68	57	68	58	53	71	68	65	70	71	74	67	64	75	60	67	63	69	64	74	83	81	60	65	76	71	74	72	67	73	65	69	57	61	74	69	71	54	73	63	63	62	79	78	50	75	73	60	63	71	67	70	66	77	68	63	71	73	72	60	70	64	57	78	68	72	60	47	70	70	54	64	68	68	64	77	75	72	67	69	70	66	80	53	73	70	64	65	67	59	56	58	60	71	60	79	56	62	56	62	74	63	65	78	69	75	69	60	75	62	71	77	77	65	59	67	71	72	61	67	62	68	76	57	66	44	55	75	72	64	73	71	77	59	70	51	72	67	79	53	71	68	65	70	69	56	56	60	68	66	72	67	63	77	75	61	66	61	68	55	65	75	67	75	61	74	68	79	60	68	67	75	60	53	70	64	60	58	78	64	75	49	58	56	61	60	63	68	58	48	66	61	53	55	54	75	71	60	55	62	69	52	72	48	63	72	62	61	70	57	55	53	66	72	54	63	63	52	78	69	57	75	49	60	66	62	76	55	66	71	63	69	60	82	62	77	70	55	62	64	58	69	55	68	75	67	72	71	60	66	88	72	71	66	72	74	45	78	65	76	87	61	64	61	61	67	78	52	79	58	66	65	68	65	65	59	56	65	73	68	70	88	47	66	63	75	68	69	67	80	63	76	62	75	73	75	73	60	59	52	74	72	70	64	80	70	71	73	58	61
