%scan variable	meanExc\tparity	pn(0)	pn(1)	pn(2)	pn(3)	pn(4)	pn(5)	pn(6)
0.000001	0.966667	0.000000	0.000000	0.000000	0.000000	0.020000	0.160000	0.820000
10.000001	0.966667	0.000000	0.000000	0.000000	0.000000	0.000000	0.200000	0.800000
20.000002	0.920000	0.000000	0.000000	0.000000	0.020000	0.020000	0.380000	0.580000
30.000002	0.863333	0.000000	0.000000	0.000000	0.020000	0.180000	0.400000	0.400000
40.000000	0.776667	0.000000	0.000000	0.000000	0.120000	0.280000	0.420000	0.180000
50.000000	0.696667	0.000000	0.000000	0.080000	0.160000	0.360000	0.300000	0.100000
60.000000	0.670000	0.000000	0.000000	0.000000	0.320000	0.380000	0.260000	0.040000
70.000000	0.546667	0.020000	0.000000	0.120000	0.480000	0.300000	0.080000	0.000000
80.000000	0.523333	0.020000	0.020000	0.160000	0.460000	0.280000	0.060000	0.000000
90.000000	0.536667	0.020000	0.000000	0.120000	0.500000	0.320000	0.040000	0.000000
100.000000	0.556667	0.000000	0.000000	0.100000	0.500000	0.360000	0.040000	0.000000
110.000000	0.556667	0.000000	0.000000	0.180000	0.380000	0.360000	0.080000	0.000000
120.000000	0.586667	0.020000	0.040000	0.060000	0.320000	0.440000	0.080000	0.040000
130.000000	0.603333	0.000000	0.060000	0.040000	0.260000	0.500000	0.140000	0.000000
140.000000	0.680000	0.000000	0.000000	0.080000	0.240000	0.280000	0.320000	0.080000
150.000000	0.696667	0.000000	0.020000	0.060000	0.140000	0.380000	0.300000	0.100000
160.000000	0.736667	0.000000	0.000000	0.040000	0.060000	0.380000	0.480000	0.040000
170.000000	0.673333	0.000000	0.060000	0.060000	0.180000	0.300000	0.280000	0.120000
180.000000	0.686667	0.000000	0.040000	0.040000	0.140000	0.400000	0.300000	0.080000
190.000000	0.663333	0.000000	0.020000	0.120000	0.200000	0.260000	0.320000	0.080000
200.000000	0.640000	0.000000	0.060000	0.100000	0.180000	0.300000	0.320000	0.040000
210.000000	0.716667	0.000000	0.000000	0.020000	0.180000	0.400000	0.280000	0.120000
220.000000	0.596667	0.020000	0.040000	0.060000	0.280000	0.420000	0.180000	0.000000
230.000000	0.610000	0.000000	0.020000	0.040000	0.400000	0.360000	0.160000	0.020000
240.000000	0.640000	0.000000	0.060000	0.080000	0.200000	0.320000	0.300000	0.040000
250.000000	0.640000	0.000000	0.040000	0.020000	0.300000	0.380000	0.220000	0.040000
260.000000	0.606667	0.000000	0.020000	0.180000	0.280000	0.240000	0.220000	0.060000
