Scan Variable	Counts	P0 Cam	P1 Cam	P2 Cam	P3 Cam	P4 Cam	P5 Cam	P6 Cam	Parity	Ion 0	Ion 1	Ion 2	Ion 3	Ion 4	Ion 5
1e-06	13.44	0	0	0	0	0.02	0.16	0.81999999	-0.31199998	0.94	1	0.98000002	0.98000002	0.98000002	0.92000002
10.000001	13.84	0	0	0	0	0	0.2	0.80000001	-0.40000004	0.98000002	1	1	0.98000002	0.89999998	0.94
20.000002	12.12	0	0	0	0.02	0.02	0.38	0.57999998	-0.80000001	0.94	1	0.98000002	0.88	0.81999999	0.89999998
30.000002	12.5	0	0	0	0.02	0.18000001	0.40000001	0.40000001	-0.80000007	0.94	1	0.98000002	0.86000001	0.77999997	0.62
40	10.98	0	0	0	0.12	0.28	0.41999999	0.18000001	-1.0799999	0.89999998	0.98000002	0.98000002	0.74000001	0.60000002	0.46000001
50	9.6400003	0	0	0.079999998	0.16	0.36000001	0.30000001	0.1	-0.83999997	0.92000002	0.92000002	0.89999998	0.66000003	0.40000001	0.38
60	8.2200003	0	0	0	0.31999999	0.38	0.25999999	0.039999999	-1.16	0.98000002	1	0.92000002	0.57999998	0.34	0.2
70	7.8000002	0.02	0	0.12	0.47999999	0.30000001	0.079999998	0	-0.91999996	0.86000001	0.94	0.92000002	0.34	0.12	0.1
80	6.4200001	0.02	0.02	0.16	0.46000001	0.28	0.059999999	0	-0.080000013	0.89999998	0.95999998	0.81999999	0.22	0.12	0.12
90	6.1599998	0.02	0	0.12	0.5	0.31999999	0.039999999	0	-0.84000003	0.89999998	0.94	0.81999999	0.2	0.059999999	0.30000001
100	6.2800002	0	0	0.1	0.5	0.36000001	0.039999999	0	-0.75999993	0.94	1	0.83999997	0.18000001	0.1	0.28
110	5.6999998	0	0	0.18000001	0.38	0.36000001	0.079999998	0	-0.55999994	0.94	1	0.69999999	0.059999999	0.14	0.5
120	6.1199999	0.02	0.039999999	0.059999999	0.31999999	0.44	0.079999998	0.039999999	-0.55999994	0.89999998	0.94	0.72000003	0.079999998	0.2	0.68000001
130	6.0599999	0	0.059999999	0.039999999	0.25999999	0.5	0.14	0	-0.55999994	0.86000001	0.94	0.62	0.14	0.22	0.83999997
140	7.6199999	0	0	0.079999998	0.23999999	0.28	0.31999999	0.079999998	-0.91999996	0.80000001	0.88	0.66000003	0.25999999	0.51999998	0.95999998
150	6.9400001	0	0.02	0.059999999	0.14	0.38	0.30000001	0.1	-0.79999995	0.86000001	0.92000002	0.46000001	0.34	0.66000003	0.94
160	7.54	0	0	0.039999999	0.059999999	0.38	0.47999999	0.039999999	-0.99999994	0.95999998	0.95999998	0.36000001	0.47999999	0.74000001	0.92000002
170	6.96	0	0.059999999	0.059999999	0.18000001	0.30000001	0.28	0.12	-0.95999992	0.75999999	0.80000001	0.31999999	0.54000002	0.86000001	0.75999999
180	7.04	0	0.039999999	0.039999999	0.14	0.40000001	0.30000001	0.079999998	-0.84000003	0.77999997	0.89999998	0.36000001	0.62	0.98000002	0.47999999
190	7.48	0	0.02	0.12	0.2	0.25999999	0.31999999	0.079999998	-0.99999994	0.75999999	0.75999999	0.41999999	0.63999999	0.86000001	0.54000002
200	6.7199998	0	0.059999999	0.1	0.18000001	0.30000001	0.31999999	0.039999999	-0.87999994	0.74000001	0.75999999	0.23999999	0.81999999	0.88	0.40000001
210	7.8200002	0	0	0.02	0.18000001	0.40000001	0.28	0.12	-0.75999999	0.95999998	0.95999998	0.40000001	0.81999999	0.89999998	0.25999999
220	6.46	0.02	0.039999999	0.059999999	0.28	0.41999999	0.18000001	0	-0.72000009	0.80000001	0.83999997	0.34	0.77999997	0.66000003	0.16
230	6.3000002	0	0.02	0.039999999	0.40000001	0.36000001	0.16	0.02	-1	0.86000001	0.88	0.38	0.88	0.60000002	0.059999999
240	6.7600002	0	0.059999999	0.079999998	0.2	0.31999999	0.30000001	0.039999999	-0.91999996	0.74000001	0.80000001	0.72000003	0.89999998	0.38	0.30000001
250	7.3000002	0	0.039999999	0.02	0.30000001	0.38	0.22	0.039999999	-1.0000001	0.69999999	0.80000001	0.75999999	0.86000001	0.28	0.44
