%scan variable	Ion1	Ion2	Ion3	Ion4	Ion5	Ion6
0.000001	0.940000	1.000000	0.980000	0.980000	0.980000	0.920000
10.000001	0.980000	1.000000	1.000000	0.980000	0.900000	0.940000
20.000002	0.940000	1.000000	0.980000	0.880000	0.820000	0.900000
30.000002	0.940000	1.000000	0.980000	0.860000	0.780000	0.620000
40.000000	0.900000	0.980000	0.980000	0.740000	0.600000	0.460000
50.000000	0.920000	0.920000	0.900000	0.660000	0.400000	0.380000
60.000000	0.980000	1.000000	0.920000	0.580000	0.340000	0.200000
70.000000	0.860000	0.940000	0.920000	0.340000	0.120000	0.100000
80.000000	0.900000	0.960000	0.820000	0.220000	0.120000	0.120000
90.000000	0.900000	0.940000	0.820000	0.200000	0.060000	0.300000
100.000000	0.940000	1.000000	0.840000	0.180000	0.100000	0.280000
110.000000	0.940000	1.000000	0.700000	0.060000	0.140000	0.500000
120.000000	0.900000	0.940000	0.720000	0.080000	0.200000	0.680000
130.000000	0.860000	0.940000	0.620000	0.140000	0.220000	0.840000
140.000000	0.800000	0.880000	0.660000	0.260000	0.520000	0.960000
150.000000	0.860000	0.920000	0.460000	0.340000	0.660000	0.940000
160.000000	0.960000	0.960000	0.360000	0.480000	0.740000	0.920000
170.000000	0.760000	0.800000	0.320000	0.540000	0.860000	0.760000
180.000000	0.780000	0.900000	0.360000	0.620000	0.980000	0.480000
190.000000	0.760000	0.760000	0.420000	0.640000	0.860000	0.540000
200.000000	0.740000	0.760000	0.240000	0.820000	0.880000	0.400000
210.000000	0.960000	0.960000	0.400000	0.820000	0.900000	0.260000
220.000000	0.800000	0.840000	0.340000	0.780000	0.660000	0.160000
230.000000	0.860000	0.880000	0.380000	0.880000	0.600000	0.060000
240.000000	0.740000	0.800000	0.720000	0.900000	0.380000	0.300000
250.000000	0.700000	0.800000	0.760000	0.860000	0.280000	0.440000
260.000000	0.620000	0.680000	0.760000	0.920000	0.140000	0.520000
