73	75	69	68	56	78	59	54	70	76	64	66	65	67	51	53	73	62	64	74	70	55	72	80	67	74	71	65	65	65	79	81	56	61	80	65	70	74	57	65	58	70	73	54	71	69	74	76	74	71
78	67	59	70	59	66	64	84	69	58	69	64	66	58	55	66	76	62	78	69	56	64	92	63	72	57	71	72	73	55	64	70	71	51	52	77	55	72	70	65	61	62	76	73	67	74	80	71	73	64
63	70	54	58	74	78	70	60	71	79	63	64	55	73	63	64	57	67	80	76	64	73	74	56	57	61	74	68	57	76	65	56	70	63	68	72	52	71	58	63	80	62	64	59	62	72	69	70	65	78
73	65	79	70	54	76	75	66	63	59	70	68	82	83	57	72	62	55	68	66	76	55	72	51	72	56	68	69	65	75	53	57	62	59	61	67	65	71	60	74	71	67	69	63	70	101	61	62	71	66
70	75	58	71	53	60	66	65	65	57	75	54	51	64	67	64	69	60	72	58	54	76	61	71	87	70	74	75	74	49	61	66	83	69	62	72	75	64	70	70	81	66	60	73	70	60	70	56	75	65
77	55	66	70	72	68	70	66	79	65	79	54	77	66	68	67	69	63	68	72	73	70	69	80	58	62	63	65	80	71	66	75	78	62	64	62	76	77	62	67	65	78	56	81	69	51	65	76	57	63
82	62	60	54	69	73	59	65	59	75	69	90	76	73	70	76	66	69	58	80	69	76	67	61	57	62	66	65	72	68	53	67	74	76	72	73	71	72	72	73	80	76	61	83	60	54	49	68	51	74
69	81	65	64	53	62	67	65	59	63	58	62	57	79	61	66	77	69	80	77	60	64	63	70	50	76	63	58	78	75	72	79	62	57	55	66	70	57	71	72	70	68	64	72	71	68	58	82	56	60
79	65	63	54	67	76	71	67	71	62	61	56	64	65	63	63	47	68	56	70	74	68	68	60	60	56	67	56	57	56	70	74	69	71	74	74	61	67	62	76	60	69	66	71	64	49	65	80	73	73
72	93	50	73	66	73	72	61	80	74	71	73	72	76	60	62	56	59	57	74	58	68	74	58	60	66	74	53	86	69	67	72	67	53	65	64	64	68	64	67	74	89	64	76	74	50	61	57	75	67
58	57	51	64	64	47	69	58	64	70	77	57	75	58	81	75	62	64	73	70	67	74	74	49	48	62	56	79	66	80	71	51	61	63	55	73	65	80	69	72	64	62	67	74	66	55	63	67	73	64
67	50	80	79	74	64	58	66	82	62	76	67	73	74	76	68	50	67	55	73	78	75	58	94	59	79	73	58	71	82	79	79	64	76	65	68	71	84	75	68	76	78	71	70	69	54	63	75	73	58
58	71	69	79	69	68	65	83	75	63	70	65	66	53	82	70	65	78	71	56	68	59	66	80	63	76	69	80	66	80	76	64	75	68	72	78	88	60	76	58	74	63	66	74	72	67	50	73	64	62
59	56	74	65	75	62	67	53	61	69	61	62	80	55	70	55	92	58	65	63	83	76	55	71	76	64	71	68	49	63	59	72	75	62	67	63	69	85	73	67	49	67	58	70	55	54	58	73	67	53
86	73	78	69	69	63	71	54	67	68	65	64	70	69	84	66	62	53	80	69	77	69	54	67	59	57	71	81	79	71	84	70	64	66	70	71	58	65	71	84	59	72	65	62	66	76	79	55	45	65
61	66	70	57	49	66	59	60	70	65	70	65	81	89	63	75	64	67	59	59	76	59	78	75	87	77	71	69	64	62	66	63	80	73	74	60	84	78	75	67	51	55	61	81	85	82	59	70	60	68
86	85	67	65	60	83	81	65	67	66	65	64	82	60	55	60	80	79	59	61	76	76	60	62	62	74	54	59	64	69	69	72	72	69	84	64	64	79	65	72	66	51	54	60	67	56	62	61	78	64
76	78	62	71	61	64	67	55	71	76	84	53	68	58	60	77	54	71	71	64	57	67	72	51	74	78	69	80	62	61	57	64	67	74	61	58	70	80	61	66	61	79	70	64	59	61	80	65	54	80
73	73	72	66	65	65	64	69	72	77	59	62	70	66	56	49	68	62	57	52	54	52	70	74	76	79	82	71	63	75	65	78	77	63	71	61	65	73	65	85	62	61	69	61	66	64	66	57	64	68
100	78	80	56	79	70	66	75	72	75	61	66	75	74	63	73	83	56	76	54	60	76	54	71	63	62	57	55	68	79	62	63	86	81	69	82	69	70	71	67	65	58	68	75	68	59	68	65	73	63
59	81	63	58	61	55	67	91	57	59	70	79	59	64	73	87	74	69	77	73	53	77	60	77	58	81	65	78	73	63	70	83	76	64	77	70	60	65	76	57	71	77	74	79	71	56	67	73	62	71
65	76	56	67	67	67	62	71	75	69	73	59	61	65	59	77	56	75	66	85	59	69	66	68	81	67	58	81	52	76	53	60	86	63	72	68	57	55	66	69	63	53	72	48	66	69	63	61	74	61
77	66	55	74	73	66	74	65	69	59	53	76	66	73	73	60	61	60	59	63	75	65	71	72	69	76	47	70	83	66	61	59	84	70	58	60	81	65	63	77	65	73	78	65	63	65	80	83	77	69
63	67	66	80	51	77	59	66	57	56	58	66	66	60	63	66	71	67	88	73	75	89	66	61	64	59	51	60	72	55	69	64	58	66	64	72	65	76	61	65	61	71	66	60	75	74	52	66	69	58
73	69	72	54	71	59	68	63	57	62	65	67	71	74	63	65	70	72	72	64	64	60	70	56	65	66	63	52	69	65	60	60	67	63	56	75	65	64	76	65	63	78	78	66	76	62	76	67	61	77
69	62	69	64	66	51	71	54	56	56	75	90	70	56	61	70	71	58	65	59	63	75	70	46	58	71	56	77	66	72	58	62	64	75	63	59	81	65	69	53	55	61	63	76	57	88	82	57	55	67
